"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW4,SW3,SW5,SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";5;"SW_Push";;;
2;"R7,R1,R5,R10,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"12K";;;
3;"TP7,TP3,TP1,TP6,TP5,TP4,TP2";"TestPoint_Pad_1.5x1.5mm";7;"TestPoint";;;
4;"J1";"PinSocket_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Pin";;;
5;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
6;"C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22uF";;;
7;"C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uF";;;
8;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
9;"R6,R11,R2,R8,R9,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"470";;;
10;"F1,F2";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"Fuse";;;
11;"J2";"TE_282837-2";1;"Conn_01x02_Pin";;;
12;"D1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Power LED";;;
13;"C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uf";;;
14;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"U3";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
16;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22uf";;;
17;"J3";"SULLINS_PPTC042LFBN-RC";1;"PPTC042LFBN-RC";;;
